cellid,predicted_label
G10_P3_M34,1
G10_P4_M34,Rejected
G11_P1_M34,1
G11_P3_M34,1
G11_P4_M34,Rejected
G12_P1_M34,1
G12_P2_M34,Rejected
G12_P3_M34,1
G12_P4_M34,Rejected
G1_P2_M34,1
G2_P1_M34,Rejected
G4_P1_M34,Rejected
G4_P3_M34,Rejected
G5_P3_M34,Rejected
G5_P4_M34,1
G6_P1_M34,1
G7_P1_M34,Rejected
G8_P1_M34,1
G8_P2_M34,Rejected
G8_P3_M34,1
G9_P3_M34,1
H10_P1_M34,1
H10_P2_M34,1
H11_P3_M34,Rejected
H11_P4_M34,1
H12_P3_M34,1
H12_P4_M34,1
H1_P3_M34,1
H3_P1_M34,1
H4_P3_M34,1
H4_P4_M34,Rejected
H5_P1_M34,1
H5_P2_M34,Rejected
H5_P4_M34,1
H6_P1_M34,Rejected
H6_P2_M34,1
H6_P4_M34,Rejected
H7_P2_M34,1
H7_P3_M34,Rejected
H7_P4_M34,1
H8_P1_M34,1
H8_P3_M34,1
H8_P4_M34,Rejected
H9_P1_M34,1
H9_P2_M34,1
H9_P3_M34,1
H9_P4_M34,1
A10_P1_M39,1
A10_P2_M39,Rejected
A11_P1_M39,1
A11_P4_M39,1
A12_P1_M39,Rejected
A12_P3_M39,0
A2_P1_M39,1
A2_P2_M39,Rejected
A2_P3_M39,Rejected
A3_P1_M39,Rejected
A3_P4_M39,1
A4_P2_M39,1
A5_P4_M39,Rejected
A6_P1_M39,1
A7_P2_M39,Rejected
A7_P3_M39,Rejected
A8_P4_M39,Rejected
A9_P4_M39,1
B12_P2_M39,1
B1_P1_M39,1
B1_P3_M39,Rejected
B1_P4_M39,1
B2_P4_M39,Rejected
B3_P3_M39,1
B4_P1_M39,1
B5_P1_M39,Rejected
B5_P3_M39,1
B5_P4_M39,1
B6_P3_M39,1
B6_P4_M39,1
B7_P1_M39,Rejected
B7_P2_M39,Rejected
B7_P3_M39,1
B7_P4_M39,1
B8_P3_M39,1
B9_P4_M39,Rejected
C10_P4_M39,Rejected
C11_P3_M39,1
C12_P2_M39,Rejected
C12_P3_M39,1
C12_P4_M39,Rejected
C1_P1_M39,1
C1_P2_M39,1
C2_P1_M39,1
C3_P1_M39,1
C3_P2_M39,1
C4_P4_M39,1
C5_P4_M39,Rejected
C7_P1_M39,1
C8_P1_M39,Rejected
C8_P2_M39,Rejected
C8_P4_M39,1
C9_P1_M39,Rejected
C9_P4_M39,1
D10_P1_M39,Rejected
D10_P4_M39,1
D12_P1_M39,Rejected
D12_P2_M39,Rejected
D12_P3_M39,1
D1_P2_M39,1
D1_P4_M39,1
D2_P1_M39,Rejected
D3_P1_M39,Rejected
D4_P4_M39,1
D5_P3_M39,Rejected
D6_P2_M39,Rejected
D6_P3_M39,Rejected
D7_P1_M39,1
D7_P2_M39,1
D8_P1_M39,1
D8_P3_M39,1
D9_P2_M39,1
E10_P1_M39,1
E10_P2_M39,1
E10_P3_M39,1
E10_P4_M39,1
E11_P1_M39,1
E11_P3_M39,1
E12_P3_M39,1
E1_P1_M39,1
E1_P4_M39,Rejected
E2_P1_M39,1
E2_P3_M39,1
E2_P4_M39,1
E3_P3_M39,Rejected
E4_P1_M39,1
E4_P2_M39,1
E5_P2_M39,1
E5_P4_M39,Rejected
E6_P1_M39,1
E6_P3_M39,Rejected
E7_P1_M39,1
E7_P2_M39,Rejected
E7_P4_M39,Rejected
E8_P1_M39,1
E8_P2_M39,Rejected
E8_P3_M39,Rejected
E9_P2_M39,1
E9_P4_M39,1
F10_P3_M39,1
F11_P1_M39,Rejected
F11_P3_M39,1
F11_P4_M39,1
F12_P2_M39,1
F12_P4_M39,Rejected
F1_P1_M39,1
F1_P2_M39,1
F1_P4_M39,1
F2_P2_M39,Rejected
F3_P1_M39,1
F4_P1_M39,Rejected
F4_P2_M39,Rejected
F4_P3_M39,1
F4_P4_M39,1
F5_P2_M39,Rejected
F6_P1_M39,1
F6_P3_M39,Rejected
F6_P4_M39,Rejected
F7_P1_M39,1
F7_P2_M39,1
F7_P4_M39,1
F8_P1_M39,1
F8_P2_M39,1
F9_P2_M39,Rejected
G10_P2_M39,1
G10_P3_M39,1
G10_P4_M39,1
G11_P1_M39,1
G11_P3_M39,1
G12_P3_M39,1
G1_P2_M39,1
G1_P3_M39,1
G2_P3_M39,Rejected
G4_P3_M39,1
G5_P2_M39,Rejected
G6_P1_M39,1
G6_P2_M39,1
G7_P1_M39,Rejected
G7_P3_M39,1
G8_P1_M39,Rejected
G8_P2_M39,Rejected
G8_P3_M39,Rejected
G9_P2_M39,1
G9_P3_M39,1
H10_P1_M39,1
H10_P2_M39,1
H10_P3_M39,1
H11_P2_M39,1
H11_P3_M39,1
H11_P4_M39,Rejected
H12_P1_M39,Rejected
H1_P2_M39,Rejected
H1_P3_M39,1
H1_P4_M39,1
H2_P2_M39,1
H3_P1_M39,1
H3_P4_M39,1
H4_P2_M39,Rejected
H4_P3_M39,1
H4_P4_M39,1
H5_P1_M39,1
H5_P4_M39,1
H6_P2_M39,1
H6_P4_M39,1
H7_P1_M39,1
H7_P2_M39,1
H7_P3_M39,1
H8_P1_M39,1
H8_P2_M39,Rejected
H8_P3_M39,Rejected
H9_P2_M39,Rejected
A10_P6_M17,Rejected
A11_P2_M17,Rejected
A11_P6_M17,0
A12_P5_M17,0
A12_P6_M17,Rejected
A2_P2_M17,Rejected
A2_P5_M17,Rejected
A2_P6_M17,Rejected
A3_P6_M17,Rejected
A4_P5_M17,Rejected
A6_P6_M17,Rejected
A7_P2_M17,Rejected
A7_P6_M17,Rejected
B12_P5_M17,Rejected
B12_P6_M17,Rejected
B1_P6_M17,Rejected
B2_P5_M17,Rejected
B3_P6_M17,Rejected
B5_P6_M17,Rejected
B9_P6_M17,Rejected
C10_P1_M17,Rejected
C10_P5_M17,Rejected
C10_P6_M17,Rejected
C11_P2_M17,Rejected
C12_P6_M17,Rejected
C1_P6_M17,Rejected
C2_P2_M17,Rejected
C2_P5_M17,Rejected
C3_P6_M17,Rejected
C4_P5_M17,Rejected
C5_P2_M17,Rejected
C5_P5_M17,Rejected
C5_P6_M17,Rejected
C6_P2_M17,Rejected
C6_P5_M17,Rejected
C8_P5_M17,Rejected
C9_P6_M17,Rejected
D10_P6_M17,Rejected
D11_P2_M17,0
D11_P5_M17,Rejected
D2_P5_M17,Rejected
D2_P6_M17,0
D4_P1_M17,0
D8_P1_M17,Rejected
D8_P2_M17,Rejected
D9_P5_M17,1
E10_P2_M17,Rejected
E10_P5_M17,Rejected
E11_P6_M17,Rejected
E12_P6_M17,Rejected
E1_P1_M17,Rejected
E1_P5_M17,Rejected
E1_P6_M17,Rejected
E2_P5_M17,Rejected
E3_P5_M17,Rejected
E4_P1_M17,Rejected
E6_P2_M17,Rejected
E6_P5_M17,Rejected
F11_P6_M17,Rejected
F1_P5_M17,Rejected
F2_P5_M17,Rejected
F4_P5_M17,Rejected
F5_P6_M17,Rejected
F8_P5_M17,Rejected
G10_P6_M17,0
G11_P1_M17,Rejected
G11_P5_M17,Rejected
G12_P2_M17,Rejected
G12_P6_M17,Rejected
G1_P2_M17,Rejected
G1_P5_M17,Rejected
G2_P1_M17,Rejected
G2_P2_M17,Rejected
G2_P5_M17,Rejected
G3_P2_M17,Rejected
G4_P1_M17,Rejected
G4_P5_M17,Rejected
G7_P2_M17,Rejected
G7_P6_M17,Rejected
G8_P2_M17,Rejected
G8_P5_M17,Rejected
G8_P6_M17,Rejected
G9_P1_M17,Rejected
G9_P2_M17,Rejected
H10_P2_M17,Rejected
H10_P6_M17,Rejected
H11_P2_M17,Rejected
H11_P5_M17,Rejected
H12_P1_M17,Rejected
H12_P2_M17,Rejected
H12_P5_M17,0
